x,y,z
3.299186,4.354094,-82.293701
4.350435,3.864849,-90.635555
4.502600,2.797788,-91.220432
5.113546,2.155793,-90.931878
5.562942,0.978473,-91.298793
N/A,N/A,N/A
N/A,N/A,N/A
4.952992,-0.899825,-80.241416
4.690841,-0.894957,-78.998012
3.791019,-1.728831,-78.474339
N/A,N/A,N/A
3.425023,-6.015331,-75.617375
3.463305,-8.340377,-77.349557
N/A,N/A,N/A
6.607822,-10.441887,-84.809095
7.868892,-10.160502,-87.823254
N/A,N/A,N/A
8.839037,-7.007729,-90.549016
8.395795,-4.528623,-91.693012
7.926396,-2.448769,-92.803345
5.258868,0.002445,-91.490479
3.388817,0.402275,-90.822190
1.368428,1.180931,-88.374886
-0.170705,-0.041544,-87.065374
-0.765407,-4.105900,-86.135086
-2.099122,-5.498296,-85.704701
-1.195123,-7.800304,-83.857234
-0.451941,-9.379889,-83.592121
1.064037,-12.094748,-83.592484
2.388829,-13.290721,-83.431908
3.221174,-13.135899,-84.480351
N/A,N/A,N/A
5.282426,-9.956737,-87.459821
7.088365,-5.935757,-89.501389
7.777487,-2.748445,-89.952827
8.952036,0.048970,-90.130082
9.142917,1.455011,-91.137860
7.212017,1.489716,-90.738920
N/A,N/A,N/A
2.951492,-2.556785,-86.656611
1.829764,-4.288068,-85.279530
-2.564590,-7.505756,-86.366176
-3.082656,-10.188187,-88.606159
-2.266939,-11.498911,-90.224717
-1.907121,-11.852997,-90.154820
-0.351385,-10.718942,-89.865808
1.630367,-8.379968,-89.923805
2.977362,-5.135371,-90.547386
4.383397,-3.303493,-89.484325
6.108470,0.788735,-87.784724
8.167941,2.792450,-86.440335
N/A,N/A,N/A
8.928845,3.631665,-86.315213
8.172689,2.469548,-86.698027
7.250226,1.384540,-87.191487
6.379481,0.309750,-88.101541
5.322377,-0.639081,-88.305729
3.807031,-2.108918,-89.219641
1.591793,-3.487075,-89.444513
-0.725795,-5.323461,-88.865199
-0.615531,-5.596729,-89.591792
-0.105726,-6.137054,-89.607329
0.708496,-5.963834,-89.087958
2.956786,-4.967451,-90.570502
4.554691,-3.418194,-91.800695
6.132751,-1.587381,-92.874178
7.812593,0.082970,-92.666844
9.012152,2.199975,-89.826390
9.192856,3.662196,-90.083977
10.131357,4.055412,-90.104426
8.504143,4.072084,-90.466634
6.549935,3.684151,-88.250683
4.346015,2.096388,-86.353341
2.276508,-0.220203,-83.223171
1.764524,-1.080680,-82.746249
0.874819,-2.347085,-81.684728
0.152001,-3.656470,-81.740262
2.702053,-4.117518,-81.615925
3.772963,-4.555674,-82.548483
5.424116,-4.670168,-84.047605
